meeting_id,venue,wg,topic
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,9.11.2 - Support of RedCap/eRedCap UEs in NTN
RAN1_119,"Orlando, US",RAN WG1,Rel-19 Ambient IoT Physical Layer Design
RAN1_116,"Athens, Greece",RAN WG1,Enhancement for asymmetric DL sTRP/UL mTRP scenarios
RAN1_119,"Orlando, US",RAN WG1,9.5.3: Adaptation of common signal/channel transmissions
RAN1_116,"Athens, Greece",RAN WG1,9.4.2.3
RAN1_118b,"Hefei, China",RAN WG1,NR UE Power Saving Enhancements
RAN1_119,"Orlando, US",RAN WG1,Cell-specific beam resetting for M-DCI MTRP
RAN1_116b,"Changsha, China",RAN WG1,Adaptation of common signal/channel transmissions for network energy savings
RAN1_118,"Maastricht, NL",RAN WG1,Clarification on PTRS with 2 CWs PDSCH/PUSCH retransmission
RAN1_118b,"Hefei, China",RAN WG1,Ambient IoT Requirements Clarification
RAN1_117,"Fukuoka, Japan",RAN WG1,Ambient IoT Evaluation
RAN1_116,"Athens, Greece",RAN WG1,UE capabilities for MPR reduction in Rel-18
RAN1_118b,"Hefei, China",RAN WG1,Physical layer specifications for 5G-NR
RAN1_118b,"Hefei, China",RAN WG1,Physical layer protocol maintenance
RAN1_116,"Athens, Greece",RAN WG1,NR MBS Core enhancements
RAN1_118,"Maastricht, Netherlands",RAN WG1,Agenda Item 9.3.1: Evolution of NR duplex operation
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Physical Layer Specifications
RAN1_116,"Athens, Greece",RAN WG1,CSI enhancements
RAN1_116,"Athens, Greece",RAN WG1,Ambient IoT Evaluation Methodologies
RAN1_118,"Maastricht, NL",RAN WG1,UL-only mTRP operation
RAN1_117,"Changsha, China",RAN WG2,Radio interface architecture
RAN1_118,"Maastricht, NL",RAN WG1,Ambient IoT waveform characteristics
RAN1_116,"Athens, Greece",RAN WG1,9.4.2.1: Physical layer aspects of Ambient IoT
RAN1_119,"Orlando, US",RAN WG1,SBFD random access operation
RAN1_118b,"Hefei, China",RAN WG1,9.11.2 - Support of RedCap and eRedCap UEs in NR NTN
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Physical layer protocol discussion for NR enhancements
RAN1_118,"Maastricht, NL",RAN WG1,NR-NTN Enhancements for Rel-19
RAN WG1 #118bis,"Hefei, China",RAN WG1,NTN Enhancements for NR and IoT
RAN1_118b,"Hefei, China",RAN WG1,Physical layer design for A-IoT
RAN WG1 #118bis,"Hefei, China",RAN WG1,Radio Layer 1 Specifications
RAN1_116,"Athens, Greece",RAN WG1,Evolution of NR Duplex Operation
RAN1_116,"Athens, Greece",RAN WG1,AI/ML for NR Air-Interface Enhancements
RAN1_118,"Maastricht, Nederland",TSG-RAN WG1,AI 9.5.3: Adaptation of Common Signalling for R19 NES
RAN1_118,"Maastricht, NL",RAN WG1,3GPP TSG-RAN WG1 Meeting #118 agenda items
RAN1_116b,"Changsha, China",RAN WG1,NR MIMO Phase 5 Enhancements
RAN1_118b,"Hefei, China",RAN WG1,Physical layer design for NR Ambient IoT
RAN1_118,"Maastricht, Netherlands",RAN WG1,HARQ-ACK codebook corrections for BWP switching
RAN1_117,"Fukuoka City, Japan",RAN WG1,NR MIMO Enhancements
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,3TX CB-based Uplink Specifications
RAN1_116b,"Changsha, CN",RAN WG1,NR Physical Layer Specifications
RAN1_119,"Orlando, US",RAN WG1,NR MIMO Enhancements
RAN1_116b,Changsha,RAN WG1,AIoT Physical Layer Design
RAN1_116,"Athens, Greece",RAN WG1,Maintenance of SD-PD adaptation for R18 NES
RAN1_116,"Athens, Greece",RAN WG1,NR-NTN Phase 3 Work Plan Finalization
RAN1_119,"Orlando, US",RAN WG1,AI/ML Model and Data Aspects for NR Air Interface
RAN WG1 #119,"Orlando, US",RAN WG1,Channel Modelling Enhancements for 7-24GHz
RAN1_118b,Hefei (CN),RAN WG1,Study on solutions for Ambient IoT in NR
RAN1_116,"Athens, Greece",RAN WG1,NR physical layer specifications
RAN1_117,"Fukuoka, Japan",RAN WG1,3GPP TSG-RAN WG1 Meeting
RAN1_116,"Athens, Greece",RAN WG1,Enhancements for XR services
RAN1_118,"Maastricht, NL",RAN WG1,Rel-19 MIMO UEIBM enhancements
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,ISAC Deployment Scenarios
RAN1_118b,"Hefei, China",RAN WG1,NR and A-IoT Physical Layer Enhancements
RAN1_118b,"Hefei, China",RAN WG1,XR Enhancements for NR
RAN1_118b,"Hefei, China",RAN WG1,NR-NTN uplink capacity/throughput enhancement
RAN1_117,"Fukuoka, Japan",RAN WG1,NR MIMO Enhancements (Phase 5)
RAN1_119,"Orlando, US",RAN WG1,Channel modelling for NR evolution
RAN WG1 #119,"Orlando, US",RAN WG1,Rel-18 Finalization & Rel-19 Work Item Development
RAN1_118,"Maastricht, NL",RAN WG1,CLI Handling for NR Duplex Operation
RAN1_116,"Chicago, USA",RAN WG3,OAM Requirements for NTN
RAN1_116b,"Athens, Greece",RAN WG1,NR Physical Layer Enhancements
RAN1_118b,"Hefei, China",RAN WG1,NR NTN Downlink coverage enhancements
RAN1_116,"Athens, Greece",RAN WG1,"February 26th - March 1st, 2024 meeting"
RAN1_116,"Athens, Greece",RAN WG1,Multi-carrier enhancements maintenance
RAN1_118,"Maastricht, NL",RAN WG1,UL synchronization mechanisms for IoT NTN
RAN1_118,"Maastricht, NL",RAN WG1,NR and LTE Physical Layer Agenda
RAN1_118,"Maastricht, NL",RAN WG1,On-demand SSB for SCell
RAN1_118,"Maastricht, NL",RAN WG1,Rel-18 UL Tx switching enhancements
RAN1_117,"Fukuoka, China",RAN WG1,MIMO Evolution for Downlink and Uplink
RAN1_118,"Maastricht, NL",RAN WG1,Rel-18 LTE UE features enhancements
RAN1_118b,"Hefei, China",RAN WG1,Data block sizes for Ambient IoT
RAN1_118,"Maastricht, NL",RAN WG1,Physical layer enhancements
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,LP-WUS operation in RRC_IDLE/INACTIVE modes
RAN1_116b,"Changsha, China",RAN WG1,Additional study on AI/ML for NR air interface: CSI compression
RAN1_116,"Athens, Greece",RAN WG1,NR coverage enhancements
RAN1_116b,"Changsha, China",RAN WG1,5G NR Physical Layer Enhancements
RAN1_116,"Athens, Greece",RAN WG1,Radio layer specifications discussion
RAN1_116,"Athens, Greece",RAN WG1,ISAC channel modeling
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,AI/ML for NR Air Interface Beam Management
RAN1_116,"Athens, Greece",RAN WG1,NR AI/ML Enhancement
RAN1_118,"Maastricht, Netherlands",RAN WG1,On-demand SIB1 for idle/inactive mode UEs
RAN1_117,"Fukuoka, Japan",RAN WG1,Agenda Item 5: UE capability for network-verified location
RAN1_118,"Maastricht, Netherlands",RAN WG1,NR XR Phase 3 Work Item Discussion
RAN1_116b,"Changsha, China",RAN WG1,9.4.1.2: Ultra low power device architectures for Ambient IoT
RAN1_118b,"Hefei, China",TSG RAN,Rel-18 FeMIMO enhancements
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,3Tx codebook-based transmission enhancements
RAN1_119,"Orlando, US",RAN WG1,Physical layer specifications for NR enhancements
RAN1_116,"Athens, Greece",RAN WG1,9.1.3.1 CSI prediction
RAN1_118,"Maastricht, Netherlands",RAN WG1,9.11.1: Downlink Coverage Enhancements for NR NTN
RAN1_119,"Orlando, US",RAN WG1,Physical layer discussions
RAN1_116,"Athens, Greece",RAN WG1,NR Sidelink Evolution Maintenance
RAN1_119,"Orlando, US",RAN WG1,On-demand SIB1 for idle/inactive mode UE
RAN1_118,"Maastricht, Netherlands",RAN WG1,Multi-carrier enhancements
RAN1_118b,Virtual Meeting,RAN WG1,5G Advanced Physical Layer Enhancements
RAN1_118,"Maastricht, The Netherlands",TSG-RAN WG1,NR-NTN Enhancements
RAN1_116,"Athens, Greece",RAN WG1,Rel-18 UL Tx switching and specification updates
RAN1_118b,"Hefei, China",RAN WG1,NR Multi-Cell Enhancement Core Specifications
RAN1_118,"Maastricht, NL",RAN WG1,AI/ML-based CSI Compression
RAN1_119,"Orlando, US",RAN WG1,Ambient IoT in NR
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,NR Small Data in Inactive State enhancements
RAN1_119,"Orlando, America",RAN WG1,NR-NTN Uplink Enhancements
RAN1_117,"Fukuoka, Japan",RAN WG1,Channel Model Enhancements for 7-24 GHz
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,8.2: Rel-18 LTE UE features
RAN1_118b,"Hefei, Anhui, China",RAN WG1,Agenda Item 5: Beam Management UE-sided Model Functionality Reporting
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,On-demand SIB1 and energy-efficient network operations
RAN1_116,"Athens, Greece",RAN WG1,Rel-18 NR MC Enhancements Maintenance
RAN1_116b,"Changsha, China",RAN WG1,Sidelink Enhancements for NR Rel-18
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR Physical Layer Enhancements
RAN1_118,"Maastricht, The Netherlands",RAN WG1,Agenda item 5: Ambient IoT requirements
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Maintenance on Rel-18 Mobility Enhancement
RAN1_118b,"Hefei, China",RAN WG1,NR Mobility Enhancements Discussion
RAN1_116,"Athens, Greece",RAN WG1,Adaptation of common signalling for NES
RAN1_116,"Athens, Greece",RAN WG1,Agenda Item 9.6.3: LP-WUS in Connected Mode
RAN1_117,"Fukuoka, Japan",RAN WG1,NTN Phase 3 Enhancements
RAN1_116,"Athens, Greece",RAN WG1,AI/ML for NR Physical Layer
RAN1_118b,"Hefei, China",RAN WG1,DL Coverage Enhancements in NTN
RAN1_116b,"Changsha, China",RAN WG1,Adaptation of Common Signals/Channels for Network Energy Savings
RAN1_118b,"Hefei, China",RAN WG1,NR FeMIMO Enhancements
RAN1_117,"Fukuoka, Japan",RAN WG1,Carrier Wave Aspects for AIoT
RAN1_118,"Maastricht, The Netherlands",TSG-RAN WG1,NR MIMO Evolution for DL/UL
RAN1_116b,"Changsha, Hunan Province, CN",RAN WG1,NR MIMO Evolution Enhancements
RAN1_116,"Athens, Greece",RAN WG1,NR Sidelink Evolution Agenda Items
RAN1_116,"Athens, Greece",RAN WG1,Maintenance on NR NTN Enhancements
RAN1_118,"Maastricht, Netherlands",RAN WG1,UE features for Rel-18 MC enhancement
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Rel-18 SL Positioning Specifications
RAN1_119,"Orlando, US",RAN WG1,On-demand SSB for NES in SCell Activation
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN1,NR mobility enhancements
RAN1_116,"Athens, Greece",RAN WG1,UE-initiated beam management enhancements
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,NR NTN Uplink Enhancements
RAN1_118,"Maastricht, NL",RAN WG1,SBFD operation enhancements in NR Rel-19
RAN1_118,"Maastricht, Netherlands",RAN WG1,Enhancements to UE-initiated beam management
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Ambient IoT device architectures
RAN1_118b,"Hefei, China",RAN WG1,Enhancements of network energy savings for NR (Rel-19)
RAN1_116,"Athens, GR",RAN WG1,MIMO UE Features for Rel-18
RAN1_116b,"Changsha, China",RAN WG1,Agenda Item 5: Parallel Tx Capability in NR-DC
RAN1_119,"Orlando, US",RAN WG1,NR duplex operation enhancements
RAN1_118b,"Hefei, China",RAN WG1,Maintenance of Positioning for RedCap UEs
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,NR NTN enhancements for RedCap devices
RAN1_116,"Athens, Greece",RAN WG1,Agenda Item 9.4.1.2: Ambient IoT Architecture
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,9.1.2 Positioning accuracy enhancement
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Co-channel coexistence of LTE SL and NR SL
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,9.6.2 LP-WUS operation in IDLE/INACTIVE modes
RAN1_118,"Maastricht, The Netherlands",RAN WG1,Evolution of NR duplex operation: Sub-band full duplex
RAN1_119,"Orlando, US",RAN WG1,Channel Model Adaptation for Higher Frequency Bands
RAN1_118b,"Hefei, China",RAN1,3GPP NR Physical Layer Enhancements
RAN1_117,"Fukuoka, Japan",RAN WG1,FR2-NTN Implementation
RAN1_119,Orlando FL,RAN WG1,NTN System Level Downlink Coverage Enhancement
RAN1_118,"Maastricht, NL",RAN WG1,IoT NTN OCC methods for NPUSCH and NPRACH
RAN1_118,"Maastricht, NL",RAN1,NR MIMO Phase 5 Enhancements
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR MIMO Evolution Rel-19
RAN1_118,"Maastricht, Netherlands",RAN WG1,NTN IoT Phase 3 Enhancements
RAN1_119,"Orlando, US",RAN WG1,Rel-18 NR Features Finalization
RAN1_118,"Maastricht, The Netherlands",RAN WG1,Rel-18 Enhanced Type II Codebook Corrections
RAN1_119,"Orlando, US",TSG-RAN WG1,NR Mobility Enhancements
RAN1_116,"Athens, Greece",RAN WG1,Rel-18 NR Features
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,IoT-NTN Uplink Enhancements
RAN1_119,"Orlando, United States of America",RAN WG1,Agenda Item 9.11.4: Non-Terrestrial Networks (NTN) for Internet of Things (IoT) Phase 3
RAN1_118b,"Hefei, CN",RAN WG1,6G Channel Modeling Enhancements
RAN1_118b,"Hefei, China",RAN WG1,Ultra low power device architectures for Ambient IoT
RAN1_118,"Maastricht, NL",RAN WG1,Positioning accuracy enhancement for AI/ML
RAN1_116b,"Changsha, China",RAN WG1,FR2-NTN PRACH Configuration
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,FR2-NTN aspects
RAN1_117,"Fukuoka, JP",RAN WG1,NR-NTN downlink coverage enhancement
RAN1_116,"Athens, Greece",RAN WG1,NR Network-Controlled Repeaters Maintenance
